City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Saskylakh,84,RU,1586555407,92,71.92,114.08,23.76,19.01
Mathbaria,0,BD,1586555530,89,22.29,89.96,76.77,8.37
Port Hardy,75,CA,1586555531,71,50.7,-127.42,51.8,13.87
Hilo,90,US,1586555482,61,19.73,-155.09,80.6,5.82
Fox Lake,40,US,1586555531,36,42.4,-88.18,51.01,9.17
Tahe,0,CN,1586555531,80,52.33,124.73,31.78,3.31
Pevek,100,RU,1586555532,86,69.7,170.31,1.26,22.46
Shirgaon,0,IN,1586555532,65,19.7,72.7,80.01,6.69
Coquimbo,3,CL,1586555532,63,-29.95,-71.34,66.2,13.87
Gayny,98,RU,1586555532,88,60.31,54.32,39.16,9.08
Cape Town,34,ZA,1586555402,93,-33.93,18.42,62.01,6.93
Biloela,38,AU,1586555533,84,-24.42,150.5,68.52,3.24
Goulburn,20,AU,1586555533,84,-34.75,149.72,55.99,15.57
Lubango,0,AO,1586555530,51,-14.92,13.49,60.89,3.49
Serenje,22,ZM,1586555534,66,-13.23,30.24,60.04,5.99
Dalbandin,100,PK,1586555534,24,28.89,64.41,76.71,7.0
Graaff-Reinet,7,ZA,1586555534,72,-32.25,24.53,66.99,0.67
Flateby,0,NO,1586555534,55,59.83,11.17,39.2,3.36
Pavino,82,RU,1586555534,97,59.11,46.14,29.62,4.09
Mufulira,80,ZM,1586555535,64,-12.55,28.24,62.38,6.08
Dingle,43,PH,1586555474,85,11.0,122.67,77.09,8.34
Zacualtipán,22,MX,1586555535,35,20.65,-98.6,76.8,8.23
Poretskoye,100,RU,1586555535,84,55.2,46.33,40.5,11.21
Ponta do Sol,20,PT,1586555536,68,32.67,-17.1,66.2,8.05
George Town,20,MY,1586555346,94,5.41,100.34,82.4,2.24
Lata,75,PT,1586555536,82,40.16,-8.33,59.0,4.7
Kaeo,0,NZ,1586555536,87,-35.1,173.78,64.0,2.06
Norman Wells,20,CA,1586555536,53,65.28,-126.83,26.6,10.29
Bayangol,0,RU,1586555537,47,50.7,103.47,34.41,0.89
Lorengau,94,PG,1586555469,77,-2.02,147.27,81.57,3.91
Yumen,0,CN,1586555471,26,40.28,97.2,39.9,16.58
Beaver Falls,90,US,1586555537,41,40.75,-80.32,45.0,14.99
Ous,100,RU,1586555537,84,60.91,61.52,40.57,11.86
Northam,53,GB,1586555538,71,51.03,-4.22,57.0,7.0
Chokurdakh,0,RU,1586555538,96,70.63,147.92,18.9,10.98
Hithadhoo,26,MV,1586555538,63,-0.6,73.08,84.33,6.13
Krasnyy Chikoy,0,RU,1586555538,52,50.36,108.75,36.95,2.71
Olafsvik,25,IS,1586555539,79,64.89,-23.71,36.3,14.23
Nanortalik,100,GL,1586555539,80,60.14,-45.24,35.2,11.7
Busselton,56,AU,1586555539,52,-33.65,115.33,68.0,12.15
General Pico,0,AR,1586555539,43,-35.66,-63.76,71.24,14.81
Saint-Philippe,70,RE,1586555472,73,-21.36,55.77,77.0,10.29
Bogovina,16,RS,1586555540,59,43.9,21.94,51.8,3.36
Kirkwall,90,GB,1586555540,100,58.98,-2.96,44.6,4.7
Marfino,0,RU,1586555540,74,55.7,37.38,35.6,4.47
Alvarães,40,BR,1586555541,65,-3.22,-64.8,85.62,1.32
Tymovskoye,86,RU,1586555541,93,50.85,142.66,22.86,6.4
Hamilton,40,US,1586555406,39,39.18,-84.53,51.01,14.99
Vila Velha,95,BR,1586555510,85,-20.33,-40.29,73.0,3.36
Stolin,6,BY,1586555541,65,51.89,26.85,39.43,5.01
Nantucket,40,US,1586555438,57,41.28,-70.1,50.0,26.4
San Vicente,0,AR,1586555542,50,-26.62,-54.13,64.76,3.78
Vostok,88,RU,1586555475,91,46.49,135.88,23.59,2.91
Katsuura,20,JP,1586555469,49,35.13,140.3,48.99,11.41
Lavrentiya,99,RU,1586555543,92,65.58,-171.0,11.44,10.96
Bluff,0,NZ,1586555486,95,-46.6,168.33,50.0,3.0
Port Elizabeth,1,ZA,1586555543,93,-33.92,25.57,60.8,9.17
Pinega,41,RU,1586555543,95,64.7,43.39,20.84,2.95
Lora del Río,20,ES,1586555544,77,37.66,-5.53,66.2,3.36
Tiksi,52,RU,1586555472,93,71.69,128.87,20.59,22.35
Atuona,79,PF,1586555544,78,-9.8,-139.03,82.13,11.77
Daru,100,PG,1586555544,81,-9.08,143.21,78.33,5.19
Ketchikan,1,US,1586555423,45,55.34,-131.65,48.2,12.75
São João da Barra,90,BR,1586555545,78,-21.64,-41.05,75.2,4.7
Yellowknife,75,CA,1586555545,61,62.46,-114.35,17.6,18.34
Nagato,64,JP,1586555545,70,34.38,131.2,48.2,5.82
Kitimat,20,CA,1586555292,36,54.05,-128.65,48.2,2.24
Bengkulu,100,ID,1586555470,79,-3.8,102.27,77.32,4.09
Alofi,42,NU,1586555546,74,-19.06,-169.92,80.6,6.93
Fortuna,75,US,1586555546,81,40.6,-124.16,60.01,11.41
Guanare,100,VE,1586555547,31,9.04,-69.74,96.51,2.84
Ribeira Grande,30,PT,1586555547,73,38.52,-28.7,63.18,6.53
Sisimiut,62,GL,1586555547,93,66.94,-53.67,31.51,7.49
Puerto Peñasco,21,MX,1586555548,64,31.32,-113.53,64.99,10.0
Bergama,0,TR,1586555548,51,39.12,27.18,60.8,9.17
Srednekolymsk,100,RU,1586555548,93,67.45,153.68,20.82,12.19
Thompson,90,CA,1586555548,40,55.74,-97.86,33.8,8.05
Longyearbyen,20,SJ,1586555548,76,78.22,15.64,-4.0,4.7
Yaan,90,NG,1586555549,59,7.38,8.57,85.28,3.15
Três Lagoas,17,BR,1586555398,63,-20.75,-51.68,75.45,1.54
Tasiilaq,99,GL,1586555549,73,65.61,-37.64,24.8,3.36
Puerto Ayora,40,EC,1586555549,66,-0.74,-90.35,86.0,8.05
Waipawa,0,NZ,1586555474,77,-41.41,175.52,59.0,17.22
Carnarvon,83,AU,1586555473,100,-24.87,113.63,75.2,10.29
Port Blair,100,IN,1586555530,68,11.67,92.75,82.2,7.14
Cap-aux-Meules,75,CA,1586555550,96,47.38,-61.86,35.6,12.75
Zhangaözen,32,KZ,1586555550,48,43.3,52.8,47.84,8.41
Vaini,40,TO,1586555404,69,-21.2,-175.2,78.8,8.05
Lakhdenpokh'ya,100,RU,1586555551,93,61.52,30.2,32.0,5.61
Narsaq,100,GL,1586555473,26,60.92,-46.05,44.6,33.33
Bandundu Province,66,CD,1586555551,81,-3.32,17.37,75.07,2.71
Te Anau,10,NZ,1586555552,67,-45.42,167.72,49.69,5.23
Methóni,0,GR,1586555552,87,36.82,21.7,59.0,2.24
Ilulissat,0,GL,1586555552,74,69.22,-51.1,30.2,8.05
Murgab,90,TM,1586555552,87,37.5,61.97,53.6,3.18
Lucapa,99,AO,1586555553,72,-8.42,20.74,67.8,1.74
Bereket,41,TM,1586555554,44,39.24,55.52,57.45,6.4
Rio Grande,0,BR,1586555322,75,-32.03,-52.1,65.73,11.27
Gombong,1,ID,1586555554,85,-7.61,109.51,78.19,0.96
Stanley,100,FK,1586555554,50,-51.7,-57.85,55.4,9.17
Dongying,100,CN,1586555554,54,37.46,118.49,45.64,6.4
Inhambane,1,MZ,1586555555,72,-23.86,35.38,72.34,8.68
Esperance,70,AU,1586555474,87,-33.87,121.9,59.0,5.82
Grand Gaube,75,MU,1586555555,78,-20.01,57.66,79.0,13.87
Chui,0,UY,1586555137,75,-33.7,-53.46,64.87,7.85
Billings Metropolitan Area,75,US,1586555533,19,45.78,-108.5,68.0,14.99
Buraidah,8,SA,1586555556,35,26.33,43.98,71.6,8.05
Klaksvík,100,FO,1586555380,100,62.23,-6.59,42.8,13.87
Saint-Augustin,100,CA,1586555556,97,51.23,-58.65,29.05,30.58
Santa Cruz de la Sierra,20,BO,1586555555,34,-17.8,-63.17,82.4,5.82
Nicolás Bravo,5,MX,1586555556,66,18.45,-88.92,87.8,19.46
Montrose,1,US,1586555556,8,38.42,-108.27,68.0,8.05
Cayenne,90,GF,1586555557,74,4.93,-52.33,82.4,6.93
Stephenville,1,US,1586555557,38,32.22,-98.2,73.99,9.17
Kahului,20,US,1586555356,51,20.89,-156.47,82.4,14.99
Leningradskiy,0,RU,1586555537,84,69.38,178.42,2.8,7.63
Hermanus,52,ZA,1586555405,97,-34.42,19.23,62.01,1.01
Pangkalanbuun,99,ID,1586555558,91,-2.68,111.62,76.64,2.04
Laguna,40,US,1586555558,49,38.42,-121.42,72.0,3.36
Iqaluit,75,CA,1586555538,72,63.75,-68.51,14.0,2.24
Riachão das Neves,82,BR,1586555558,75,-11.75,-44.91,76.05,2.66
Castro,15,BR,1586555483,53,-24.79,-50.01,60.78,2.82
Kloulklubed,0,PW,1586555559,79,7.04,134.26,81.75,13.0
Hong Kong,40,HK,1586555426,88,22.29,114.16,73.0,11.41
La Peca,73,PE,1586555559,46,-5.61,-78.44,82.81,3.62
Hulan,0,CN,1586555560,68,45.98,126.6,30.2,2.24
Santa Cruz del Sur,98,CU,1586555560,63,20.71,-78.0,86.47,13.31
Būlaevo,0,KZ,1586555560,83,54.91,70.44,36.82,8.9
Brae,100,GB,1586555560,93,60.4,-1.35,44.6,19.46
Melfort,75,CA,1586555560,59,52.87,-104.62,37.4,16.11
Włocławek,97,PL,1586555561,57,52.65,19.07,45.25,2.28
College,90,US,1586555561,85,64.86,-147.8,36.0,3.58
Bethel,90,US,1586555561,52,41.37,-73.41,48.0,11.41
Saint George,1,US,1586555561,31,37.1,-113.58,64.4,3.36
Ḩasanābād,100,IR,1586555561,87,36.55,61.05,50.0,4.7
Mar del Plata,0,AR,1586555434,72,-38.0,-57.56,62.6,10.29
Dwārka,0,IN,1586555562,70,22.24,68.97,79.16,11.07
Goderich,0,CA,1586555562,74,43.75,-81.72,39.99,11.01
Kalmunai,46,LK,1586555562,76,7.42,81.82,81.19,7.2
Cabo San Lucas,75,MX,1586555562,41,22.89,-109.91,80.01,11.41
Teahupoo,100,PF,1586555563,62,-17.83,-149.27,89.6,12.75
Mount Isa,100,AU,1586555563,28,-20.73,139.5,71.6,10.29
Vila Franca do Campo,20,PT,1586555527,77,37.72,-25.43,59.0,9.17
Arraial do Cabo,75,BR,1586555563,78,-22.97,-42.03,73.4,9.17
Honiara,20,SB,1586555278,78,-9.43,159.95,82.4,2.24
Geraldton,0,AU,1586555564,68,-28.77,114.6,66.2,9.17
Dikson,98,RU,1586555403,96,73.51,80.55,12.51,7.74
Auki,40,SB,1586555564,76,-8.77,160.7,81.93,4.72
Marsá Maţrūḩ,0,EG,1586555564,70,31.35,27.25,59.94,14.09
Takoradze,85,GH,1586555564,82,4.88,-1.76,81.63,4.92
Eureka,90,US,1586555565,82,40.8,-124.16,57.99,14.99
Yatou,100,CN,1586555565,69,37.15,122.38,43.48,6.49
Lompoc,40,US,1586555349,49,34.64,-120.46,70.0,10.29
Marsh Harbour,28,BS,1586555566,80,26.54,-77.06,78.3,20.2
Moose Factory,90,CA,1586555566,95,51.26,-80.61,32.0,10.29
San Patricio,5,MX,1586555496,78,19.22,-104.7,80.6,11.41
Arman',0,RU,1586555566,91,59.7,150.17,17.64,5.57
Redmond,1,US,1586555567,45,47.67,-122.12,68.0,4.7
San Cristobal,40,VE,1586555567,49,7.77,-72.22,93.2,12.75
Srandakan,1,ID,1586555567,83,-7.94,110.25,78.51,1.63
San Juan,0,AR,1586555567,22,-31.54,-68.54,80.2,4.68
Mamlyutka,2,KZ,1586555567,80,54.94,68.54,38.71,10.6
Faanui,100,PF,1586555482,77,-16.48,-151.75,82.96,9.53
Kavieng,100,PG,1586555407,74,-2.57,150.8,83.55,4.7
Scarborough,100,GB,1586555568,71,54.28,-0.4,60.01,6.93
Lagoa,0,PT,1586555568,70,39.05,-27.98,62.24,6.78
Martapura,90,ID,1586555569,94,-3.42,114.85,78.8,4.7
Sānchor,0,IN,1586555522,24,24.76,71.77,82.63,6.06
Beni Suef,25,EG,1586555569,54,29.07,31.1,61.18,7.38
Kenai,1,US,1586555569,50,60.55,-151.26,39.99,5.82
Touros,20,BR,1586555569,83,-5.2,-35.46,80.6,5.82
Avarua,100,CK,1586555282,88,-21.21,-159.78,82.4,5.82
Luau,100,AO,1586555570,69,-10.71,22.22,66.33,2.21
Kaitangata,0,NZ,1586555469,79,-46.28,169.85,55.99,0.76
High Prairie,100,CA,1586555430,77,55.43,-116.49,29.32,11.45
Don Luan,82,VN,1586555570,90,11.53,106.92,75.07,0.94
Isangel,20,VU,1586555571,69,-19.55,169.27,78.8,8.77
West Bay,20,KY,1586555571,66,19.37,-81.42,87.8,4.7
Zhigansk,0,RU,1586555571,94,66.77,123.37,19.54,11.48
Mwinilunga,99,ZM,1586555571,64,-11.74,24.43,62.85,5.77
Sandakan,20,MY,1586555527,94,5.84,118.12,78.8,2.24
Aktau,0,KZ,1586555572,74,43.65,51.2,37.4,4.47
Sabá,83,HN,1586555558,29,15.47,-86.25,94.89,6.31
Øksfjord,96,NO,1586555572,92,70.24,22.35,27.0,9.17
Sitka,1,US,1586555572,45,57.05,-135.33,44.6,5.82
Mórrope,14,PE,1586555573,59,-6.54,-80.01,80.8,14.41
Grand-Santi,100,GF,1586555573,89,4.25,-54.38,80.11,2.59
Podyuga,57,RU,1586555573,95,61.09,40.86,21.0,3.71
Lebu,57,CL,1586555406,80,-37.62,-73.65,60.28,8.08
Harstad,100,NO,1586555574,86,68.8,16.53,30.2,14.99
Okha,0,RU,1586555574,95,53.57,142.95,20.57,3.44
Port Lincoln,100,AU,1586555574,69,-34.73,135.87,60.51,16.42
Hasaki,20,JP,1586555470,75,35.73,140.83,44.01,1.12
Shelburne,75,CA,1586555574,51,44.08,-80.2,41.0,13.87
Maniitsoq,100,GL,1586555575,82,65.42,-52.9,35.35,14.99
Fukuechō,93,JP,1586555575,63,32.69,128.84,56.64,11.74
Grindavik,90,IS,1586555322,93,63.84,-22.43,42.8,11.41
Zhicheng,100,CN,1586555575,82,30.3,111.5,44.01,14.05
Campbell River,75,CA,1586555435,51,50.02,-125.24,60.8,9.17
Kununurra,92,AU,1586555576,88,-15.77,128.73,69.8,1.79
Antofagasta,20,CL,1586555495,77,-23.65,-70.4,68.0,12.75
Liverpool,100,GB,1586555523,77,53.41,-2.98,62.01,9.17
Ibiraçu,91,BR,1586555576,89,-19.83,-40.37,73.0,3.0
Nikolskoye,75,RU,1586555471,94,59.7,30.79,32.0,4.47
Jos,98,NG,1586555577,32,9.92,8.9,71.73,3.29
Noumea,90,NC,1586555478,64,-22.28,166.46,77.0,2.24
Krasnyy Tkach,31,RU,1586555577,74,55.47,39.08,35.6,6.71
Mastic Beach,1,US,1586555358,39,40.77,-72.85,48.2,23.04
Saint Paul Harbor,1,US,1586555405,69,57.79,-152.41,39.2,6.93
Tarabuco,17,BO,1586555578,29,-19.17,-64.92,53.26,8.1
Mahébourg,75,MU,1586555578,78,-20.41,57.7,79.0,13.87
Tecpan,20,GT,1586555578,57,14.76,-90.99,80.6,13.87
Kumul,60,CN,1586555492,21,42.8,93.45,54.91,6.04
Baruun-Urt,0,MN,1586555578,44,46.68,113.28,33.62,5.28
Pisco,0,PE,1586555472,30,-13.7,-76.22,75.0,25.28
Provideniya,100,RU,1586555535,93,64.38,-173.3,11.7,16.04
Kupino,99,RU,1586555579,76,54.37,77.3,37.27,8.93
Souillac,75,MU,1586555537,78,-20.52,57.52,79.0,13.87
Diamantino,55,BR,1586555579,73,-14.41,-56.45,79.99,5.53
Qorveh,0,IR,1586555554,40,35.17,47.8,43.5,4.54
Clyde River,75,CA,1586555580,85,70.47,-68.59,10.4,16.11
Kieta,5,PG,1586555580,78,-6.22,155.63,80.8,4.9
Kholodnyy,23,RU,1586555580,86,62.72,147.95,11.84,0.89
San Quintín,3,MX,1586555409,54,30.48,-115.95,62.94,11.52
Nadym,100,RU,1586555581,98,65.53,72.52,33.51,5.03
Sitrah,100,BH,1586555581,29,26.15,50.62,91.4,4.7
Shamkhal,0,RU,1586555581,93,43.06,47.34,37.4,6.71
Cidreira,3,BR,1586555394,73,-30.18,-50.21,66.56,9.04
Robertson,1,US,1586555582,30,36.52,-86.87,57.99,8.05
Casablanca,75,MA,1586555405,93,33.59,-7.62,64.0,9.17
Ayr,40,GB,1586555582,87,55.46,-4.63,55.0,3.24
Labuhan,35,ID,1586555583,85,-6.88,112.21,78.01,3.53
Fairview,90,US,1586555409,39,40.81,-74.0,48.2,23.58
Severo-Kuril'sk,76,RU,1586555583,94,50.68,156.12,31.15,10.96
Cherskiy,100,RU,1586555583,88,68.75,161.3,7.84,24.45
Gizo Government Station,54,SB,1586555583,80,-8.1,156.84,81.86,8.16
Pāvugada,0,IN,1586555584,45,14.1,77.27,77.25,4.54
Huarmey,58,PE,1586555584,64,-10.07,-78.15,79.41,10.09
Saint-Louis,0,SN,1586555584,20,16.33,-15.0,93.2,2.24
Ximeicun,40,CN,1586555584,82,24.96,118.38,66.2,2.24
Murashi,99,RU,1586555585,91,59.4,48.96,31.28,5.93
Christchurch,2,NZ,1586555530,87,-43.53,172.63,60.01,13.87
Tokur,0,RU,1586555537,91,53.13,132.9,21.02,1.95
PEMEX,0,MX,1586555585,38,18.44,-96.35,98.82,10.85
Aloleng,40,PH,1586555585,77,16.13,119.78,79.79,6.04
Viedma,0,AR,1586555585,32,-40.81,-63.0,76.71,19.13
Rocha,11,UY,1586555586,77,-34.48,-54.33,62.83,6.17
Atambua,29,ID,1586555586,77,-9.11,124.89,73.06,2.39
Ulladulla,0,AU,1586555586,63,-35.35,150.47,62.6,9.17
Novobirilyussy,1,RU,1586555586,93,56.95,90.67,30.0,5.86
Piaçabuçu,80,BR,1586555586,76,-10.41,-36.43,81.28,9.57
Flin Flon,90,CA,1586555587,74,54.77,-101.86,33.8,12.75
Kavaratti,0,IN,1586555484,70,10.57,72.64,83.95,6.78
Ternate,2,ID,1586555587,83,0.8,127.4,78.82,5.82
Richards Bay,44,ZA,1586555587,76,-28.78,32.04,72.91,19.01
Ambilobe,15,MG,1586555587,81,-13.2,49.05,74.37,4.85
Menongue,100,AO,1586555588,63,-14.66,17.69,64.49,6.11
Pangnirtung,22,CA,1586555588,86,66.15,-65.71,21.47,3.53
Tabou,19,CI,1586555588,81,4.42,-7.35,81.12,6.17
Deputatsky,82,RU,1586555588,91,69.3,139.9,16.52,8.25
Dunedin,0,NZ,1586555499,78,-45.87,170.5,55.99,7.52
Vestmannaeyjar,100,IS,1586555589,84,63.44,-20.27,44.06,16.58
Kutum,0,SD,1586555404,14,14.2,24.67,71.33,9.82
Kaniama,96,CD,1586555589,75,-7.57,24.18,68.56,3.83
Iwanai,72,JP,1586555589,83,42.97,140.51,35.01,4.43
Tugulym,2,RU,1586555589,64,57.06,64.64,39.2,6.71
Carutapera,58,BR,1586555590,80,-1.2,-46.02,81.57,9.98
Algeciras,2,ES,1586555590,77,36.13,-5.45,62.6,17.22
Mount Gambier,75,AU,1586555590,62,-37.83,140.77,51.8,17.22
Wahiawā,90,US,1586555590,61,21.5,-158.02,82.4,5.82
Maragogi,16,BR,1586555590,76,-9.01,-35.22,81.59,9.33
Chicama,39,PE,1586555591,62,-7.84,-79.15,79.18,10.2
Krasnoborsk,89,RU,1586555591,96,61.56,45.93,27.18,5.5
State College,90,US,1586555403,59,40.79,-77.86,41.0,14.99
Wilmington,1,US,1586555591,20,34.23,-77.94,64.0,18.34
Tecolutla,75,MX,1586555592,55,20.48,-97.02,91.4,11.41
Salalah,40,OM,1586555592,78,17.02,54.09,80.6,4.7
Hay River,90,CA,1586555592,73,60.82,-115.8,21.2,19.46
Gerede,0,TR,1586555592,49,40.8,32.2,32.94,0.67
Algiers,75,DZ,1586555588,87,36.75,3.04,60.8,3.36
Emmett,1,US,1586555584,26,43.87,-116.5,71.6,10.29
Port Hedland,0,AU,1586555593,88,-20.32,118.57,71.6,6.93
Nuuk,97,GL,1586555593,69,64.18,-51.72,35.6,10.29
Los Llanos de Aridane,20,ES,1586555439,77,28.66,-17.92,68.0,5.82
Khovd,100,MN,1586555594,34,48.01,91.64,42.17,3.06
Codrington,46,AU,1586555594,70,-38.27,141.97,53.01,25.66
Oranjemund,0,NA,1586555499,73,-28.55,16.43,59.11,5.97
Zhangjiakou,0,CN,1586555595,46,40.81,114.88,38.91,6.08
Mandalgovi,0,MN,1586555595,38,45.76,106.27,34.99,7.85
Tuatapere,0,NZ,1586555595,95,-46.13,167.68,50.0,3.0
Impfondo,100,CG,1586555595,74,1.64,18.07,75.31,0.83
Talcahuano,36,CL,1586555596,77,-36.72,-73.12,60.8,8.05
Pryazha,93,RU,1586555596,100,61.69,33.62,24.8,2.24
Kennett,1,US,1586555596,26,36.24,-90.06,57.99,4.7
Fairbanks,90,US,1586555319,85,64.84,-147.72,28.0,5.82
Bay Roberts,90,CA,1586555514,93,47.6,-53.26,41.0,12.75
Mareeba,90,AU,1586555597,88,-17.0,145.43,73.4,2.24
Makakilo City,90,US,1586555491,61,21.35,-158.09,82.4,5.82
Butembo,97,CD,1586555597,62,0.15,29.28,59.58,1.99
Winneba,99,GH,1586555598,83,5.35,-0.62,82.4,9.17
Shimoda,98,JP,1586555598,53,34.67,138.95,46.99,1.01
South Kazakhstan Region,100,KZ,1586555598,45,43.0,68.0,49.08,14.47
Boquira,100,BR,1586555598,74,-12.82,-42.73,74.61,1.03
Basco,69,PH,1586555599,76,20.45,121.97,75.49,13.29
Banff,89,CA,1586555599,79,51.18,-115.57,28.99,7.0
Bambous Virieux,75,MU,1586555599,78,-20.34,57.76,79.0,13.87
Jonesboro,1,US,1586555352,30,35.84,-90.7,57.0,5.82
Cedar City,1,US,1586555581,29,37.68,-113.06,62.6,8.55
Derzhavīnsk,85,KZ,1586555600,72,51.1,66.32,40.53,5.23
Karasjok,100,NO,1586555600,73,69.47,25.51,26.6,21.92
Lazarev,1,RU,1586555600,96,52.23,141.51,20.52,7.25
Roald,75,NO,1586555600,86,62.58,6.13,42.01,10.29
Mandera,52,KE,1586555601,14,3.94,41.87,84.0,3.0
Kudahuvadhoo,4,MV,1586555601,66,2.67,72.89,84.06,1.77
Kem',96,RU,1586555601,94,64.96,34.58,27.73,7.47
Aklavik,75,CA,1586555538,41,68.22,-135.01,24.8,10.29
Zaranj,75,AF,1586555601,55,30.97,61.88,62.6,11.41
Tianpeng,40,CN,1586555602,93,30.99,103.94,64.99,4.47
Puerto Gaitán,99,CO,1586555602,77,4.31,-72.08,79.12,12.88
Asău,68,RO,1586555602,45,46.43,26.4,46.4,12.75
Yangi Marg`ilon,100,UZ,1586555602,61,40.43,71.72,50.0,2.24
Matara,0,LK,1586555602,88,5.95,80.54,77.07,5.99
Sistranda,75,NO,1586555603,93,63.73,8.83,37.0,3.36
Margate,53,GB,1586555556,93,51.38,1.39,57.99,1.12
Tazovsky,6,RU,1586555603,92,67.47,78.7,10.36,6.29
Korla,97,CN,1586555603,25,41.76,86.15,54.73,9.24
Myaundzha,37,RU,1586555603,85,63.05,147.19,10.69,1.54
Concepción,42,CL,1586555604,77,-36.83,-73.05,60.8,8.05
Guerrero Negro,14,MX,1586555604,53,27.98,-114.06,66.06,17.9
Birao,87,CF,1586555604,11,10.28,22.79,88.56,4.03
Coyah,20,GN,1586555604,79,9.75,-13.42,84.2,6.93
Bāndarban,0,BD,1586555604,82,22.2,92.23,68.97,2.19
Eruwa,48,NG,1586555605,65,7.53,3.42,80.28,2.66
Leshukonskoye,34,RU,1586555605,96,64.9,45.76,17.83,3.96
Gigmoto,40,PH,1586555605,72,13.78,124.39,81.21,5.32
Tual,87,ID,1586555605,74,-5.67,132.75,83.12,8.41
Biak,1,ID,1586555605,72,-0.91,122.88,79.54,5.82
Ostrovnoy,48,RU,1586555606,94,68.05,39.51,13.32,9.82
Fuerte Olimpo,0,PY,1586555606,35,-21.04,-57.87,80.76,2.24
Zima,87,RU,1586555606,77,53.92,102.04,39.67,5.14
Cap Malheureux,75,MU,1586555606,78,-19.98,57.61,79.0,13.87
Shache,80,CN,1586555606,18,38.42,77.24,57.99,5.12
Nouadhibou,0,MR,1586555607,68,20.93,-17.03,71.6,19.46
Bolekhiv,41,UA,1586555607,59,49.07,23.86,39.67,3.0
Victor Harbor,40,AU,1586555607,59,-35.57,138.62,62.6,17.22
Lenger,100,KZ,1586555608,66,42.18,69.88,48.2,11.18
Dīr,69,PK,1586555608,29,35.21,71.88,52.25,8.1
Bartica,20,GY,1586555608,74,6.4,-58.62,84.2,13.87
Praia da Vitória,20,PT,1586555584,82,38.73,-27.07,62.6,8.12
Yeppoon,30,AU,1586555609,94,-23.13,150.73,69.8,1.97
Marystown,99,CA,1586555609,90,47.17,-55.15,35.29,11.12
